#{"t_start": 1748618611.923424, "env_id": null}
r,l,t
51.744932,50,34.487084
73.830926,50,34.529978
74.813737,50,34.565892
67.820199,50,34.59681
55.747677,50,34.632718
68.694569,50,34.662647
49.95775,50,34.691575
71.774542,50,34.721505
21.775243,50,34.750448
79.903463,50,34.778393
63.255613,50,34.806432
68.11785,50,34.834266
21.570494,50,34.863209
74.718443,50,34.89215
68.252331,50,34.920086
42.198879,50,34.949104
60.38088,50,34.977122
50.222018,50,35.006059
56.202172,50,35.034076
64.218353,50,35.063169
71.028503,50,35.091148
64.983401,50,35.12017
73.604363,50,35.149105
64.706692,50,35.17813
72.623919,50,35.207145
61.753867,50,35.23516
71.728717,50,35.264191
37.671296,50,35.292131
71.189862,50,35.321141
61.282372,50,35.349117
67.22473,50,35.378137
56.227858,50,35.430573
46.197472,50,35.459514
51.351878,50,35.489457
64.920928,50,35.519394
25.059743,50,35.548818
66.051032,50,35.578756
69.597913,50,35.607694
76.440933,50,35.637317
58.647004,50,35.667239
70.588857,50,35.697159
69.872573,50,36.793475
76.555814,50,36.824396
36.158699,50,36.855309
59.87827,50,36.9002
74.950072,50,36.935106
72.550183,50,36.969073
62.262101,50,36.999022
79.185892,50,37.030057
77.766928,50,37.060124
72.715477,50,37.089097
53.984027,50,37.133594
80.514808,50,37.167501
54.007438,50,37.19842
73.577297,50,37.228342
76.845098,50,37.256266
58.1138,50,37.286184
12.932198,50,37.316106
74.310144,50,37.345039
64.164878,50,37.374961
52.642773,50,37.407871
36.735193,50,37.437794
76.943539,50,37.486661
67.541304,50,37.515583
75.376879,50,37.544506
76.612558,50,37.572431
50.658453,50,37.601354
32.95366,50,37.629788
78.281582,50,37.788971
70.989276,50,37.818298
65.207503,50,37.847209
49.867116,50,37.891085
74.380332,50,37.9283
58.780281,50,37.959217
46.925178,50,37.989138
76.405272,50,38.039028
63.473778,50,38.067981
51.816389,50,38.096905
82.038033,50,38.125976
66.39975,50,38.157174
79.465558,50,38.185098
70.39479,50,38.214042
38.938762,50,39.510465
76.853061,50,39.55236
67.555292,50,39.593223
69.277496,50,39.637015
75.064131,50,39.674914
55.599547,50,39.705834
75.629787,50,39.736751
80.055019,50,39.767666
69.960003,50,39.798584
31.332206,50,39.829508
71.819162,50,39.860419
73.707755,50,39.892336
71.262153,50,39.927835
68.292408,50,39.95875
75.073622,50,39.988669
79.253152,50,40.019588
82.262455,50,40.050504
64.101941,50,40.079425
64.458147,50,40.125305
54.305458,50,40.155225
70.829168,50,40.184147
37.668237,50,40.214076
46.188565,50,40.242999
60.468377,50,40.271922
65.695983,50,40.305841
56.315452,50,40.347728
55.080956,50,40.378645
26.449499,50,40.416057
39.493824,50,40.446975
33.342485,50,40.477894
82.22323,50,40.508332
81.022138,50,40.539248
63.120828,50,40.569168
77.716517,50,40.600086
43.27096,50,40.631004
59.678215,50,40.663916
77.190136,50,40.693835
66.194201,50,40.723754
55.199495,50,40.755669
69.598033,50,40.785589
69.578002,50,40.816507
44.145256,50,42.031276
48.209338,50,42.070172
81.880997,50,42.108071
79.215947,50,42.144972
66.381686,50,42.181881
76.851238,50,42.217785
62.336207,50,42.24671
58.758381,50,42.275635
83.449916,50,42.304555
57.504183,50,42.333479
76.642128,50,42.362401
57.390666,50,42.391323
69.700847,50,42.439196
80.25903,50,42.470113
36.076075,50,42.500034
81.900669,50,42.531465
69.997174,50,42.561385
73.897158,50,42.592302
73.000409,50,42.623219
48.534651,50,42.653152
59.81719,50,42.685066
73.68607,50,42.715984
67.191308,50,42.745904
54.63218,50,42.777819
85.887676,50,42.807739
83.836601,50,42.838655
61.973133,50,42.870088
56.044865,50,42.902004
77.783603,50,42.937913
40.37026,50,42.968825
73.831877,50,42.998745
43.719711,50,43.029663
72.318713,50,43.058585
73.524575,50,43.089502
74.303668,50,43.118424
72.740598,50,43.148346
73.097867,50,43.184248
65.321604,50,43.215166
74.804345,50,43.246083
59.735842,50,43.275007
59.646528,50,43.304925
74.177873,50,44.534874
56.04251,50,44.563797
82.585005,50,44.595712
80.827433,50,44.634608
75.340337,50,44.814519
59.413585,50,44.84238
84.039038,50,44.872307
84.428993,50,44.901253
61.704361,50,44.929668
81.677803,50,44.982534
